,Baseline,Baseline,Baseline,Year 1,Year 1,Year 1,Year 2,Year 2,Year 2,Year 4,Year 4,Year 4
,Original,Replication,Closest,Original,Replication,Closest,Original,Replication,Closest,Original,Replication,Closest
% Caucasian,95.1,95.1,93.9,94.4,94.0,94.1,97.8,95.1,95.1,97.0,97.8,96.7
% African-American,2.4,2.0,2.4,1.9,1.5,0.0,0,1.6,0.0,0,0.0,0.0
% Asian,3.7,2.9,3.7,5.6,4.5,5.9,4.4,3.3,4.9,3.0,2.2,3.3
% Hispanic,1.2,1.0,0.0,0,1.5,0.0,0,1.6,0.0,0,0.0,0.0
% Male,67.0,66.7,67.1,68.5,65.7,68.6,82.2,80.3,85.4,75.8,67.4,73.3
% right-handed,89.0,89.2,89.0,85.2,85.1,84.3,88.9,90.2,90.2,87.9,84.8,86.7
"Mean age, years",62.1 ± 9.8,62.0 ± 9.5,62.1 ± 9.7,61.9 ± 10.3,62.2 ± 9.9,63.0 ± 10.4,63.6 ± 9.2,64.7 ± 9.1,65.9 ± 9.4,59.5 ± 11.0,66.2 ± 10.1**,63.8 ± 11.0
Mean years of education,15.6 ± 3.0,15.6 ± 2.8,15.7 ± 2.9,15.1 ± 3.2,15.5 ± 2.9,15.4 ± 2.9,15.1 ± 3.3,15.4 ± 2.8,15.5 ± 3.0,15.0 ± 3.4,15.3 ± 3.0,15.2 ± 3.4
"Mean disease duration at baseline, days",770 ± 565,866.9 ± 598.7,760.3 ± 559.2,808 ± 576,904.1 ± 614.5,808.5 ± 580.0,771 ± 506,867.5 ± 516.3,732.0 ± 462.8,532 ± 346,746.6 ± 624.6,464.6 ± 294.9
Mean MDS-UPDRS at baseline,33.9 ± 15.8,34.5 ± 15.6,33.9 ± 16.1,38.0 ± 20.9,33.4 ± 15.1,34.1 ± 15.4,40.2 ± 18.2,35.0 ± 15.1,35.2 ± 16.1,34.9 ± 15.7,30.7 ± 13.9,26.1 ± 11.4*
Mean MDS-UPDRS at timepoint,-,-,-,39.2 ± 21.6,40.7 ± 24.5,39.9 ± 22.0,40.9 ± 18.5,40.0 ± 18.7,40.7 ± 18.7,35.9 ± 16.5,41.5 ± 19.8,34.2 ± 16.2
Mean MoCA at baseline,26.7 ± 2.8,26.5 ± 3.0,26.4 ± 2.8,26.9 ± 3.2,27.0 ± 2.9,26.7 ± 3.1,26.7 ± 3.5,27.0 ± 2.5,26.5 ± 2.4,27.5 ± 2.3,26.8 ± 3.2,27.4 ± 2.6
Mean GDS at Baseline,5.4 ± 1.4,5.4 ± 1.4,5.4 ± 1.5,5.4 ± 1.6,5.5 ± 1.8,5.5 ± 1.9,5.4 ± 1.2,5.5 ± 1.3,5.6 ± 1.3,5.4 ± 1.7,5.8 ± 1.8,5.6 ± 1.7
Mean Hoehn-Yahr stage,1.8 ± 0.5,1.7 ± 0.5,1.7 ± 0.5,1.8 ± 0.5,1.8 ± 0.6,1.7 ± 0.5,1.8 ± 0.5,1.9 ± 0.5,1.9 ± 0.5,1.7 ± 0.5,1.9 ± 0.5,1.8 ± 0.5
Number of subject,82,102,82,53,67,51,45,61,41,33,46,30
